arquivo,status_cliente,needs_equalization,requires_human_review,media_original,std_original,media_final,std_final,separabilidade_otsu,limiar_otsu
"ChatGPT Image 14 de mar. de 2026, 15_57_14 1.png",ideal,False,False,190.0800,58.0562,190.0800,58.0562,0.6504,150
"ChatGPT Image 14 de mar. de 2026, 15_57_14 2.png",ideal,False,False,188.6455,55.6416,188.6455,55.6416,0.6927,164
"ChatGPT Image 14 de mar. de 2026, 15_57_14 3.png",corrigida_automaticamente,True,False,192.3276,26.6216,181.7400,34.4173,0.6349,157
"ChatGPT Image 14 de mar. de 2026, 15_57_14 4.png",ideal,False,False,176.6802,59.5400,176.6802,59.5400,0.6618,130
"ChatGPT Image 14 de mar. de 2026, 16_00_44 1.png",corrigida_automaticamente,True,False,52.2398,21.0165,70.1819,26.5983,0.7017,67
"ChatGPT Image 14 de mar. de 2026, 16_00_44 2.png",corrigida_automaticamente,True,False,210.5896,39.2443,195.6650,52.5231,0.7114,179
"ChatGPT Image 14 de mar. de 2026, 16_00_44 3.png",corrigida_automaticamente,True,False,54.3404,16.2982,73.0676,22.3832,0.5497,69
"ChatGPT Image 14 de mar. de 2026, 16_00_44 4.png",corrigida_automaticamente,True,False,207.4180,38.9449,192.9384,49.8961,0.7073,167
"ChatGPT Image 14 de mar. de 2026, 16_10_15 1.png",corrigida_automaticamente,True,False,54.8983,47.1137,73.8552,52.8973,0.6986,96
"ChatGPT Image 14 de mar. de 2026, 16_10_15 2.png",corrigida_automaticamente,True,False,43.0374,27.9481,69.3472,47.0851,0.7235,80
"ChatGPT Image 14 de mar. de 2026, 16_10_15 3.png",corrigida_automaticamente,True,False,61.6768,38.8278,88.3552,46.8414,0.6010,105
"ChatGPT Image 14 de mar. de 2026, 16_11_52 1.png",corrigida_automaticamente,True,False,53.6237,41.4324,79.7145,51.0727,0.6296,116
WhatsApp Image 2026-03-13 at 17.04.45 (1).jpeg,ideal,False,False,125.9993,56.2958,125.9993,56.2958,0.7099,96
WhatsApp Image 2026-03-13 at 17.04.45 (2).jpeg,ideal,False,False,127.5454,51.3047,127.5454,51.3047,0.7189,115
WhatsApp Image 2026-03-13 at 17.04.45 (3).jpeg,ideal,False,False,137.3985,54.3496,137.3985,54.3496,0.7642,99
WhatsApp Image 2026-03-13 at 17.04.45.jpeg,ideal,False,False,124.0470,52.4878,124.0470,52.4878,0.7126,112
WhatsApp Image 2026-03-13 at 17.04.46 (1).jpeg,ideal,False,False,123.7704,46.6185,123.7704,46.6185,0.7101,92
WhatsApp Image 2026-03-13 at 17.04.46 (2).jpeg,corrigida_automaticamente,True,False,139.0954,37.2374,140.2437,44.5375,0.6433,121
WhatsApp Image 2026-03-13 at 17.04.46 (3).jpeg,ideal,False,False,125.8756,56.0417,125.8756,56.0417,0.7515,111
WhatsApp Image 2026-03-13 at 17.04.46 (4).jpeg,ideal,False,False,145.5577,51.0725,145.5577,51.0725,0.7404,123
WhatsApp Image 2026-03-13 at 17.04.46 (5).jpeg,ideal,False,False,111.4557,42.4297,111.4557,42.4297,0.7273,89
WhatsApp Image 2026-03-13 at 17.04.46 (6).jpeg,ideal,False,False,118.7723,52.8991,118.7723,52.8991,0.6936,110
WhatsApp Image 2026-03-13 at 17.04.46.jpeg,ideal,False,False,123.0627,56.2431,123.0627,56.2431,0.8110,93
WhatsApp Image 2026-03-13 at 17.04.47 (1).jpeg,corrigida_automaticamente,True,False,76.8177,59.7790,86.6402,61.6772,0.7449,88
WhatsApp Image 2026-03-13 at 17.04.47 (2).jpeg,ideal,False,False,95.9594,55.0647,95.9594,55.0647,0.6874,98
WhatsApp Image 2026-03-13 at 17.04.47 (3).jpeg,ideal,False,False,96.3091,56.6896,96.3091,56.6896,0.7211,92
WhatsApp Image 2026-03-13 at 17.04.47 (4).jpeg,ideal,False,False,94.2142,56.0896,94.2142,56.0896,0.7527,82
WhatsApp Image 2026-03-13 at 17.04.47 (5).jpeg,ideal,False,False,106.4968,57.4454,106.4968,57.4454,0.6742,100
WhatsApp Image 2026-03-13 at 17.04.47.jpeg,corrigida_automaticamente,True,False,77.1333,61.5477,88.8663,62.5202,0.7438,88
WhatsApp Image 2026-03-13 at 17.04.48 (1).jpeg,ideal,False,False,117.7010,52.7376,117.7010,52.7376,0.7636,101
WhatsApp Image 2026-03-13 at 17.04.48 (3).jpeg,corrigida_automaticamente,True,False,73.1639,60.0073,83.5447,61.4345,0.7558,86
WhatsApp Image 2026-03-13 at 17.04.48 (4).jpeg,ideal,False,False,111.1059,70.2204,111.1059,70.2204,0.7890,88
