arquivo,status_cliente,needs_equalization,requires_human_review,media_original,std_original,media_final,std_final,separabilidade_otsu,limiar_otsu
"ChatGPT Image 14 de mar. de 2026, 15_57_14 1.png",requer_revisao_humana,False,True,190.0800,58.0562,190.0800,58.0562,0.6504,150
"ChatGPT Image 14 de mar. de 2026, 15_57_14 2.png",requer_revisao_humana,False,True,188.6455,55.6416,188.6455,55.6416,0.6927,164
"ChatGPT Image 14 de mar. de 2026, 15_57_14 3.png",requer_revisao_humana,True,True,192.3276,26.6216,192.3276,26.6216,0.5426,173
"ChatGPT Image 14 de mar. de 2026, 15_57_14 4.png",ajuste_sem_ganho_relevante,False,False,176.6802,59.5400,176.6802,59.5400,0.6618,130
"ChatGPT Image 14 de mar. de 2026, 16_00_44 1.png",requer_revisao_humana,False,True,52.2398,21.0165,52.2398,21.0165,0.6989,58
"ChatGPT Image 14 de mar. de 2026, 16_00_44 2.png",requer_revisao_humana,False,True,210.5896,39.2443,210.5896,39.2443,0.7079,191
"ChatGPT Image 14 de mar. de 2026, 16_00_44 3.png",requer_revisao_humana,False,True,54.3404,16.2982,54.3404,16.2982,0.5100,51
"ChatGPT Image 14 de mar. de 2026, 16_00_44 4.png",requer_revisao_humana,False,True,207.4180,38.9449,207.4180,38.9449,0.6846,178
"ChatGPT Image 14 de mar. de 2026, 16_10_15 1.png",requer_revisao_humana,True,True,54.8983,47.1137,54.8983,47.1137,0.6514,76
"ChatGPT Image 14 de mar. de 2026, 16_10_15 2.png",requer_revisao_humana,False,True,43.0374,27.9481,43.0374,27.9481,0.7026,47
"ChatGPT Image 14 de mar. de 2026, 16_10_15 3.png",requer_revisao_humana,False,True,61.6768,38.8278,61.6768,38.8278,0.5794,143
"ChatGPT Image 14 de mar. de 2026, 16_11_52 1.png",requer_revisao_humana,True,True,53.6237,41.4324,53.6237,41.4324,0.6361,102
WhatsApp Image 2026-03-13 at 17.04.45 (1).jpeg,ideal,False,False,125.9993,56.2958,125.9993,56.2958,0.7099,96
WhatsApp Image 2026-03-13 at 17.04.45 (2).jpeg,ideal,False,False,127.5454,51.3047,127.5454,51.3047,0.7189,115
WhatsApp Image 2026-03-13 at 17.04.45 (3).jpeg,ideal,False,False,137.3985,54.3496,137.3985,54.3496,0.7642,99
WhatsApp Image 2026-03-13 at 17.04.45.jpeg,ideal,False,False,124.0470,52.4878,124.0470,52.4878,0.7126,112
WhatsApp Image 2026-03-13 at 17.04.46 (1).jpeg,ideal,False,False,123.7704,46.6185,123.7704,46.6185,0.7101,92
WhatsApp Image 2026-03-13 at 17.04.46 (2).jpeg,corrigida_automaticamente,True,False,139.0954,37.2374,141.0349,42.3832,0.6362,122
WhatsApp Image 2026-03-13 at 17.04.46 (3).jpeg,ideal,False,False,125.8756,56.0417,125.8756,56.0417,0.7515,111
WhatsApp Image 2026-03-13 at 17.04.46 (4).jpeg,ideal,False,False,145.5577,51.0725,145.5577,51.0725,0.7404,123
WhatsApp Image 2026-03-13 at 17.04.46 (5).jpeg,ideal,False,False,111.4557,42.4297,111.4557,42.4297,0.7273,89
WhatsApp Image 2026-03-13 at 17.04.46 (6).jpeg,ideal,False,False,118.7723,52.8991,118.7723,52.8991,0.6936,110
WhatsApp Image 2026-03-13 at 17.04.46.jpeg,ideal,False,False,123.0627,56.2431,123.0627,56.2431,0.8110,93
WhatsApp Image 2026-03-13 at 17.04.47 (1).jpeg,ajuste_sem_ganho_relevante,True,False,76.8177,59.7790,76.8177,59.7790,0.7583,78
WhatsApp Image 2026-03-13 at 17.04.47 (2).jpeg,ideal,False,False,95.9594,55.0647,95.9594,55.0647,0.6874,98
WhatsApp Image 2026-03-13 at 17.04.47 (3).jpeg,ideal,False,False,96.3091,56.6896,96.3091,56.6896,0.7211,92
WhatsApp Image 2026-03-13 at 17.04.47 (4).jpeg,ideal,False,False,94.2142,56.0896,94.2142,56.0896,0.7527,82
WhatsApp Image 2026-03-13 at 17.04.47 (5).jpeg,ideal,False,False,106.4968,57.4454,106.4968,57.4454,0.6742,100
WhatsApp Image 2026-03-13 at 17.04.47.jpeg,requer_revisao_humana,False,True,77.1333,61.5477,77.1333,61.5477,0.7482,80
WhatsApp Image 2026-03-13 at 17.04.48 (1).jpeg,ideal,False,False,117.7010,52.7376,117.7010,52.7376,0.7636,101
WhatsApp Image 2026-03-13 at 17.04.48 (3).jpeg,requer_revisao_humana,False,True,73.1639,60.0073,73.1639,60.0073,0.7758,76
WhatsApp Image 2026-03-13 at 17.04.48 (4).jpeg,requer_revisao_humana,False,True,111.1059,70.2204,111.1059,70.2204,0.7890,88
